player_id,First Pitch Total,First Pitch In-Play #,First Pitch Ball #,First Pitch Called Strike #,First Pitch Swinging Strike #,First Pitch Foul #,First Pitch Hit #,First Pitch xBA,First Pitch In-Play %,First Pitch Ball %,First Pitch Strike %,key_mlbam,player_name,Team
608379,409,63,141,108,33,54,27,0.382,0.154,0.345,0.477,608379.0,michael wacha,SEA
608566,385,60,144,95,18,51,22,0.369,0.156,0.374,0.426,608566.0,germán márquez,MIL
608650,17,1,5,7,2,1,0,0.023,0.059,0.294,0.588,608650.0,dietrich enns,DET
608665,41,3,15,14,2,5,2,0.194,0.073,0.366,0.512,608665.0,kendall graveman,CIN
608671,6,3,2,0,0,0,2,0.709,0.5,0.333,0.0,608671.0,travis jankowski,PIT
608717,104,12,45,26,6,11,6,0.381,0.115,0.433,0.413,608717.0,chris stratton,STL
608718,174,20,57,57,11,21,7,0.332,0.115,0.328,0.511,608718.0,brent suter,BOS
612434,28,2,15,9,1,0,1,0.584,0.071,0.536,0.357,612434.0,miguel castro,NYM
614179,80,9,30,19,8,10,5,0.248,0.112,0.375,0.462,614179.0,josé ruiz,ATL
615698,315,28,120,100,14,43,10,0.344,0.089,0.381,0.498,615698.0,cal quantrill,AZ
620454,89,16,28,31,5,8,4,0.295,0.18,0.315,0.494,620454.0,josé castillo,NYM
621051,108,9,47,24,9,13,3,0.313,0.083,0.435,0.426,621051.0,steven wilson,CWS
621053,156,14,60,48,11,18,3,0.248,0.09,0.385,0.494,621053.0,tyler ferguson,NYY
621057,28,4,13,4,1,5,3,0.74,0.143,0.464,0.357,621057.0,justin garza,PHI
621107,270,39,94,78,24,32,18,0.41,0.144,0.348,0.496,621107.0,zach eflin,BAL
621111,308,45,101,110,20,23,17,0.356,0.146,0.328,0.497,621111.0,walker buehler,BOS
621112,93,9,40,28,3,9,4,0.463,0.097,0.43,0.43,621112.0,paul blackburn,PIT
621121,158,10,75,44,9,17,3,0.479,0.063,0.475,0.443,621121.0,lance mccullers,HOU
621139,8,1,5,2,0,0,1,0.926,0.125,0.625,0.25,621139.0,brooks kriske,CIN
621199,95,9,30,33,5,16,4,0.545,0.095,0.316,0.568,621199.0,matthew bowman,ATH
621237,84,9,29,23,4,15,5,0.671,0.107,0.345,0.5,621237.0,josé alvarado,PHI
621242,127,11,63,29,10,12,2,0.304,0.087,0.496,0.402,621242.0,edwin díaz,NYM
621244,416,64,148,129,24,46,21,0.328,0.154,0.356,0.478,621244.0,josé berríos,BOS
621345,44,3,15,17,5,3,1,0.305,0.068,0.341,0.568,621345.0,a. j. minter,WSH
621363,52,4,25,12,5,3,3,0.637,0.077,0.481,0.385,621363.0,colin poche,PIT
621366,104,7,44,28,10,7,3,0.293,0.067,0.423,0.433,621366.0,ryan borucki,PIT
621381,139,18,40,38,14,27,6,0.278,0.129,0.288,0.568,621381.0,matt strahm,ATL
621383,145,12,49,46,14,22,4,0.426,0.083,0.338,0.566,621383.0,tanner banks,PHI
621512,6,2,1,2,0,0,0,0.005,0.333,0.167,0.333,621512.0,tomás nido,STL
622253,30,2,13,10,0,3,1,0.42,0.067,0.433,0.433,622253.0,dillon tate,LAA
622379,41,6,14,13,3,5,4,0.657,0.146,0.341,0.512,622379.0,luis castillo,SEA
622491,408,57,138,116,33,54,16,0.313,0.14,0.338,0.498,622491.0,luis castillo,TEX
622554,141,10,66,31,14,14,3,0.274,0.071,0.468,0.418,622554.0,seranthony domínguez,TEX
622569,8,4,3,1,0,0,3,0.609,0.5,0.375,0.125,622569.0,pablo reyes,LAD
622608,390,52,149,110,21,41,22,0.383,0.133,0.382,0.441,622608.0,antonio senzatela,MIL
622663,462,56,177,123,17,81,18,0.346,0.121,0.383,0.478,622663.0,luis severino,NYY
622761,11,2,8,1,0,0,1,0.527,0.182,0.727,0.091,622761.0,jorge mateo,BAL
622780,16,1,9,4,0,1,0,0.431,0.062,0.562,0.312,622780.0,ángel perdomo,ATH
622786,81,8,27,29,6,10,3,0.218,0.099,0.333,0.556,622786.0,jesús tinoco,MIA
623149,49,5,14,21,5,2,0,0.09,0.102,0.286,0.571,623149.0,paul sewald,CLE
623167,105,17,40,34,2,10,3,0.259,0.162,0.381,0.438,623167.0,chris flexen,HOU
623168,5,0,2,2,0,0,0,,0.0,0.4,0.4,623168.0,tyler heineman,BOS
623211,169,18,65,44,16,19,2,0.27,0.107,0.385,0.467,623211.0,huascar brazobán,PIT
623352,142,9,37,44,27,20,3,0.25,0.063,0.261,0.641,623352.0,josh hader,HOU
623437,140,19,45,54,5,15,3,0.317,0.136,0.321,0.529,623437.0,justin topa,DET
623465,22,0,13,5,2,2,0,,0.0,0.591,0.409,623465.0,evan phillips,MIA
623474,179,20,63,63,10,15,9,0.423,0.112,0.352,0.492,623474.0,jimmy herget,MIL
624133,283,46,100,86,14,32,14,0.331,0.163,0.353,0.466,624133.0,ranger suárez,ATL
624431,2,0,1,0,0,0,0,,0.0,0.5,0.0,624431.0,jose trevino,BOS
625643,26,5,8,8,0,4,3,0.445,0.192,0.308,0.462,625643.0,reynaldo lópez,SD
628317,43,4,18,10,3,7,2,0.443,0.093,0.419,0.465,628317.0,kenta maeda,HOU
628452,132,18,46,45,12,8,9,0.378,0.136,0.348,0.492,628452.0,raisel iglesias,ATL
640448,127,15,46,43,9,13,5,0.287,0.118,0.362,0.512,640448.0,kyle finnegan,LAA
640451,17,3,5,7,2,0,0,0.252,0.176,0.294,0.529,640451.0,hunter harvey,KC
640454,15,2,6,5,0,2,0,0.306,0.133,0.4,0.467,640454.0,matt krook,ATH
